Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
151.446,13.976,14480.7,648.2,0.0,1643.0,0.0
55.872,6.404,14471.67,245.6,0.0,157.0,0.0
30.628,6.682,14681.8,128.0,0.0,58.0,0.0
29.712,5.798,14772.56,123.2,0.0,13.0,0.0
17.796,6.946,14742.05,79.4,0.0,40.0,0.0
16.018,4.1,14646.73,68.8,0.0,10.0,0.0
49.504,7.326,14752.6,205.2,0.0,42.0,518.0
15.87,3.63,14777.13,68.2,0.0,10.0,0.0
18.32,7.736,14757.39,80.0,0.0,36.0,0.0
14.7,3.046,14651.38,61.4,0.0,0.0,0.0
36.972,7.836,14654.75,158.4,0.0,29.0,0.0
173.926,8.074,14442.07,730.0,0.0,549.0,696.0
99.532,5.634,14498.82,408.6,0.0,40.0,1073.0
81.892,5.14,14576.23,333.0,0.0,22.0,1084.0
145.574,4.604,14356.53,607.2,0.0,1073.0,1051.0
121.974,8.776,14522.0,506.8,0.0,635.0,1076.0
84.872,4.3,14551.41,349.4,0.0,1.0,1080.0
84.868,7.978,14576.32,348.0,0.0,31.0,1084.0
49.706,3.162,14713.44,206.2,0.0,0.0,560.0
19.55,8.24,14697.11,88.2,0.0,31.0,0.0
28.74,3.592,14602.23,122.8,0.0,0.0,0.0
59.092,8.318,14543.87,246.2,0.0,22.0,5.0
212.884,6.32,14265.16,893.0,0.0,9.0,1041.0
205.91,10.05,14152.01,874.0,0.0,0.0,1024.0
214.634,13.058,14190.77,906.8,0.0,31.0,1028.0
217.746,8.614,14179.77,917.4,0.0,0.0,1028.0
157.748,4.428,14461.74,650.2,0.0,30.0,1067.0
117.044,11.11,14585.08,481.6,0.0,0.0,1085.0
92.236,10.264,14606.64,379.2,0.0,29.0,1088.0
80.544,2.844,14623.28,325.2,0.0,2.0,1091.0
51.82,4.488,14633.95,212.6,0.0,2.0,595.0
16.706,5.264,14683.29,71.6,0.0,28.0,0.0
15.796,3.81,14656.47,66.6,0.0,0.0,0.0
17.078,5.826,14649.84,73.6,0.0,31.0,0.0
37.538,3.39,14631.91,153.8,0.0,0.0,0.0
76.92,8.772,14431.62,326.8,0.0,25.0,0.0
154.638,5.22,14321.5,650.2,368.0,536.0,722.0
133.936,2.796,14309.37,560.2,866.0,39.0,1045.0
50.93,5.322,14442.36,215.228,2.122,24.299,480.458
29.736,5.666,14578.68,133.028,1.122,1.299,6.458
96.05,7.246,14486.72,404.8,0.0,1277.0,0.0
89.276,6.204,14556.07,376.0,0.0,395.0,667.0
25.448,4.954,14627.82,111.6,0.0,56.0,66.0
44.594,5.174,14511.95,188.0,0.0,19.0,408.0
68.508,5.404,14264.68,289.4,0.0,34.0,741.0
145.764,8.544,14056.89,620.4,0.0,10.0,1011.0
131.06,6.002,14046.76,558.6,0.0,42.0,1008.0
156.698,11.914,14062.12,672.6,530.0,10.0,296.0
120.042,8.258,14174.15,506.2,0.0,34.0,672.0
22.53,4.566,14378.73,95.8,0.0,0.0,100.0
16.632,6.01,14653.92,72.2,0.0,31.0,0.0
15.812,4.508,14763.44,68.6,0.0,0.0,0.0
15.968,4.814,14686.25,67.2,0.0,24.0,0.0
16.636,5.782,14718.14,73.0,0.0,7.0,0.0
14.932,3.3,14810.2,62.2,0.0,0.0,0.0
17.776,7.37,14731.19,78.2,0.0,31.0,0.0
38.278,2.298,14676.91,156.4,0.0,0.0,396.0
26.292,7.496,14794.19,112.6,0.0,31.0,138.0
56.242,3.794,14567.54,236.6,0.0,0.0,0.0
142.762,9.186,14432.46,595.0,118.0,28.0,647.0
123.712,3.326,14452.47,512.6,578.0,3.0,1067.0
112.768,3.288,14350.9,468.8,572.0,0.0,1051.0
78.804,4.426,14323.7,328.2,0.0,30.0,1047.0
95.178,13.144,14321.95,407.2,861.0,1.0,347.0
40.148,20.0,14467.36,188.8,2.0,33.0,0.0
34.646,12.542,14452.27,156.4,0.0,8.0,0.0
72.258,8.328,14447.01,304.8,0.0,26.0,790.0
87.86,6.562,14534.31,361.2,0.0,7.0,1078.0
101.962,7.448,14422.31,422.2,0.0,25.0,1061.0
80.184,8.32,14339.91,336.2,0.0,5.0,213.0
232.518,20.002,14204.36,983.0,0.0,26.0,647.0
196.292,10.816,14266.24,823.2,0.0,0.0,1039.0
218.672,7.082,14110.95,932.4,498.0,34.0,1018.0
282.5,4.502,14114.62,1210.0,522.0,0.0,592.0
166.934,7.174,14450.4,705.8,0.0,31.0,0.0
121.684,5.656,14548.05,523.0,0.0,0.0,0.0
104.066,7.578,14609.06,453.2,0.0,31.0,0.0
101.5,4.268,14622.26,447.4,0.0,0.0,0.0
105.678,4.49,14635.97,461.4,0.0,9.0,0.0
104.704,5.936,14601.97,454.2,0.0,22.0,0.0
141.358,4.188,14549.78,601.4,0.0,0.0,548.0
104.192,6.728,14574.31,454.4,0.0,31.0,0.0
139.014,3.514,14429.92,602.0,0.0,0.0,26.0
273.324,5.308,14245.19,1149.2,0.0,26.0,1038.0
211.696,4.534,14446.76,882.2,0.0,5.0,1065.0
178.812,4.524,14435.25,747.0,0.0,0.0,718.0
201.428,12.996,14252.79,853.6,0.0,31.0,848.0
170.44,5.428,14332.39,715.2,0.0,0.0,237.0
195.448,6.788,14321.05,824.2,0.0,31.0,996.0
207.436,9.768,14429.82,869.2,0.0,0.0,1063.0
233.702,16.62,14429.38,979.8,0.0,6.0,1063.0
255.638,27.014,14469.7,1067.6,0.0,53.0,1068.0
287.312,16.476,14259.15,1215.6,502.0,45.0,1039.0
281.306,10.364,14120.41,1201.8,545.0,32.0,1019.0
253.168,10.778,14278.28,1065.6,0.0,33.0,1041.0
246.042,8.68,14345.34,1034.0,0.0,4.0,1050.0
228.606,10.772,14321.32,961.8,0.0,34.0,967.0
193.41,12.516,14269.66,820.2,95.0,0.0,0.0
295.322,17.136,14355.05,1243.0,931.0,32.0,305.0
319.496,4.462,14371.57,1342.8,596.0,0.0,1055.0
237.946,5.596,14294.89,1012.0,332.0,32.0,1044.0
180.018,3.498,14375.35,777.6,566.0,0.0,846.0
95.946,6.556,14805.58,426.6,0.0,31.0,0.0
96.334,3.574,14760.76,444.8,0.0,0.0,0.0
99.104,7.548,14762.36,453.6,0.0,31.0,0.0
93.532,2.532,14770.52,434.0,0.0,0.0,0.0
112.478,4.44,14647.41,507.6,0.0,8.0,0.0
87.928,4.852,14518.29,407.6,0.0,23.0,0.0
115.912,3.206,14540.0,516.6,0.0,0.0,238.0
155.996,7.774,14258.05,676.0,0.0,31.0,1038.0
147.506,3.926,14227.73,620.0,0.0,542.0,1033.0
106.072,12.968,14250.0,453.2,0.0,90.0,747.0
166.06,10.548,14167.23,708.8,0.0,1552.0,0.0
137.31,8.316,14403.83,576.2,0.0,697.0,775.0
111.186,8.606,14625.94,459.4,0.0,907.0,171.0
180.22,13.906,14637.74,749.4,805.0,1001.0,188.0
88.302,5.668,14498.46,366.4,0.0,39.0,391.0
76.702,4.404,14327.47,322.8,0.0,0.0,0.0
29.768,6.86,14495.2,123.2,0.0,36.0,0.0
27.946,4.19,14492.59,115.6,0.0,0.0,0.0
29.174,5.852,14510.43,120.4,0.0,28.0,0.0
28.43,4.994,14555.04,117.2,0.0,7.0,0.0
28.21,4.366,14622.96,115.2,0.0,0.0,0.0
37.026,7.49,14591.65,154.6,0.0,36.0,0.0
87.828,8.372,14664.66,360.4,0.0,0.0,616.0
31.87,3.988,14778.44,132.2,0.0,4.0,254.0
34.278,7.7,14927.21,140.8,0.0,32.0,0.0
35.154,4.126,14894.16,143.8,0.0,0.0,0.0
36.546,6.402,14907.56,148.0,0.0,25.0,0.0
27.802,5.61,14880.13,112.6,0.0,12.0,0.0
14.992,3.19,14720.57,61.8,0.0,0.0,0.0
109.574,8.106,14522.35,457.0,0.0,35.0,446.0
124.898,8.266,14655.91,511.2,0.0,0.0,211.0
94.06,14.892,14578.56,389.2,0.0,0.0,0.0
116.712,12.538,14583.74,482.0,0.0,35.0,67.0
214.582,14.498,14414.91,906.4,1103.0,0.0,909.0
124.246,18.758,14561.37,530.0,839.0,23.0,0.0
137.566,6.71,14562.29,584.6,1158.0,11.0,0.0
137.732,5.962,14722.23,566.6,661.0,0.0,749.0
137.4,19.856,14661.52,577.0,420.0,35.0,133.0
176.696,21.078,14461.2,743.2,1437.0,0.0,0.0
143.556,13.056,14361.4,602.6,16.0,0.0,652.0
139.472,14.244,14402.63,585.0,0.0,555.0,0.0
76.342,9.556,14515.14,315.4,0.0,23.0,0.0
143.328,12.668,14490.14,594.2,0.0,36.0,798.0
271.81,6.448,14198.87,1151.6,465.0,1047.0,960.0
217.942,7.99,14397.01,909.4,521.0,66.0,0.0
148.41,5.208,14677.32,603.0,0.0,19.0,0.0
143.63,4.356,14577.06,586.6,0.0,10.0,0.0
144.35,6.19,14559.76,591.4,0.0,47.0,0.0
146.982,4.92,14735.49,594.2,0.0,10.0,0.0
160.882,6.24,14710.76,652.8,0.0,32.0,227.0
163.992,5.168,14680.35,667.0,0.0,23.0,303.0
142.384,2.962,14605.42,580.6,0.0,0.0,0.0
166.406,7.726,14501.79,688.4,0.0,35.0,0.0
193.582,3.244,14285.92,809.4,0.0,0.0,557.0
141.766,5.688,14368.67,593.6,0.0,482.0,757.0
234.188,6.218,14215.56,985.2,0.0,71.0,897.0
193.058,4.41,14280.7,811.6,0.0,0.0,1042.0
143.31,4.82,14332.13,599.6,0.0,19.0,1049.0
165.686,9.162,14371.15,696.0,0.0,15.0,1054.0
196.134,6.17,14474.58,814.6,0.0,793.0,1070.0
189.412,11.344,14687.35,780.0,0.0,789.0,1100.0
186.456,8.392,14662.49,766.2,0.0,38.0,1096.0
194.998,9.47,14344.94,819.8,0.0,16.0,1050.0
210.512,7.882,14297.59,884.6,0.0,40.0,1044.0
180.284,13.806,14343.67,753.4,0.0,10.0,1051.0
183.586,16.116,14414.93,766.4,0.0,46.0,1060.0
195.066,4.362,14471.1,812.4,540.0,10.0,1069.0
121.65,4.6,14510.46,513.6,546.0,7.0,553.0
52.542,6.354,14751.94,228.8,0.0,35.0,0.0
37.408,6.0,14810.62,164.8,0.0,0.0,0.0
28.794,9.47,14850.55,136.2,0.0,21.0,0.0
29.39,8.656,14961.01,135.4,0.0,14.0,0.0
26.688,6.86,14981.59,123.4,0.0,0.0,0.0
28.782,9.228,14879.88,135.6,0.0,36.0,0.0
35.374,5.506,14829.11,159.6,0.0,0.0,144.0
53.758,5.322,14772.05,230.2,0.0,0.0,450.0
59.386,10.014,14780.99,262.8,0.0,35.0,0.0
129.94,9.608,14357.36,545.0,0.0,0.0,705.0
139.796,4.258,14456.54,578.0,0.0,0.0,1067.0
138.148,8.022,14382.56,575.4,0.0,34.0,1056.0
113.11,3.938,14367.69,470.0,0.0,0.0,1054.0
80.774,6.51,14384.06,334.0,0.0,15.0,1057.0
37.76,6.414,14549.47,160.6,0.0,20.0,349.0
15.836,4.942,14628.15,72.4,0.0,0.0,0.0
19.042,8.97,14705.41,89.6,0.0,34.0,0.0
18.244,8.882,14773.39,83.2,0.0,1.0,0.0
16.71,5.94,14655.12,74.0,0.0,0.0,0.0
67.026,8.77,14393.69,285.0,0.0,35.0,0.0
109.038,5.932,14302.93,458.2,0.0,0.0,0.0
122.244,9.546,14450.81,513.2,0.0,0.0,406.0
113.58,7.964,14557.51,467.6,0.0,35.0,688.0
76.784,5.386,14525.17,314.6,0.0,0.0,0.0
44.036,9.63,14671.63,187.4,0.0,16.0,0.0
43.97,9.884,14728.11,189.0,0.0,18.0,412.0
34.9,4.86,14631.56,150.0,0.0,0.0,314.0
19.406,11.376,14797.37,93.0,0.0,35.0,0.0
17.488,8.468,14947.59,77.2,0.0,0.0,0.0
17.408,8.074,14934.3,77.8,0.0,0.0,0.0
19.01,11.004,14877.64,89.4,0.0,35.0,0.0
17.28,7.71,14828.06,77.0,0.0,0.0,0.0
37.744,8.108,14782.56,165.8,0.0,0.0,0.0
102.02,10.214,14507.69,427.0,13.0,34.0,547.0
135.382,4.764,14440.22,562.6,921.0,0.0,1064.0
36.89,7.978,14608.53,162.4,243.0,2.0,78.0
18.672,9.304,14571.35,87.4,0.0,32.0,0.0
16.426,5.292,14509.32,75.6,0.0,0.0,0.0
24.33,8.168,14566.72,107.6,0.0,18.0,0.0
80.656,12.348,14585.52,339.8,0.0,17.0,532.0
92.856,4.688,14634.57,380.8,0.0,0.0,1093.0
93.548,8.352,14650.94,381.8,0.0,35.0,1095.0
104.366,5.07,14453.98,433.0,0.0,0.0,1066.0
150.378,12.858,14260.2,636.0,0.0,0.0,1039.0
181.954,10.188,14280.99,769.2,0.0,467.0,892.0
146.376,11.98,14275.46,620.8,0.0,22.0,0.0
250.468,7.362,14296.38,1063.0,466.0,1497.0,533.0
187.518,10.618,14406.11,788.0,564.0,360.0,511.0
194.05,9.634,14714.53,798.8,0.0,1811.0,0.0
94.486,9.822,14786.94,424.0,0.0,57.0,0.0
87.83,6.762,14774.04,396.4,0.0,39.0,26.0
122.818,7.036,14810.03,533.6,0.0,45.0,518.0
149.452,5.902,14858.67,600.4,0.0,10.0,0.0
145.78,3.882,14744.13,588.4,0.0,10.0,0.0
146.718,7.142,14696.1,596.0,0.0,46.0,0.0
145.074,4.484,14674.98,589.2,0.0,10.0,0.0
172.398,5.168,14625.69,708.2,0.0,16.0,86.0
238.542,10.22,14295.74,998.6,0.0,19.0,830.0
211.818,5.354,14382.73,880.6,0.0,0.0,967.0
204.836,6.028,14405.78,849.0,0.0,33.0,1060.0
97.928,5.426,14521.23,401.8,0.0,0.0,1076.0
80.486,3.078,14444.73,332.6,0.0,0.0,1066.0
108.536,11.068,14373.75,454.4,0.0,33.0,1055.0
89.276,11.658,14527.89,368.2,0.0,0.0,1077.0
76.88,13.848,14687.56,321.8,0.0,20.0,931.0
19.784,12.686,14568.12,95.4,0.0,14.0,0.0
19.05,10.632,14339.89,91.4,0.0,0.0,0.0
81.752,9.794,14015.81,351.8,0.0,33.0,0.0
110.818,5.95,13969.18,477.2,0.0,507.0,0.0
167.598,11.694,14017.54,719.2,410.0,0.0,706.0
205.998,9.318,14013.92,888.0,842.0,776.0,154.0
223.436,6.008,14048.09,958.0,0.0,1268.0,962.0
222.67,16.514,14355.56,941.8,0.0,2257.0,815.0
18.312,6.084,14644.4,83.2,0.0,28.0,0.0
18.25,5.994,14497.2,83.8,0.0,44.0,0.0
18.734,9.306,14627.91,89.4,0.0,40.0,0.0
16.654,7.042,14864.31,75.2,0.0,10.0,0.0
19.37,10.902,14780.08,92.0,0.0,47.0,0.0
16.604,6.184,14774.05,75.0,0.0,10.0,0.0
17.872,7.816,14771.5,82.8,0.0,20.0,0.0
52.676,7.94,14754.89,218.2,0.0,29.0,584.0
51.922,7.96,14567.75,224.8,0.0,0.0,0.0
108.464,17.636,14578.46,455.0,0.0,36.0,253.0
279.501,13.183,14270.8,1182.256,511.244,1556.597,1017.917
252.326,21.722,14102.5,1084.6,224.0,1558.0,1017.0
150.492,9.742,14320.56,635.4,0.0,711.0,1047.0
229.7,19.556,14288.24,973.6,0.0,2089.0,1043.0
89.698,7.746,14484.77,372.4,0.0,38.0,1071.0
129.008,25.786,14473.48,542.6,0.0,52.0,1069.0
183.93,31.666,14453.8,772.6,0.0,591.0,1066.0
203.062,24.732,14247.63,862.4,0.0,970.0,1037.0
176.186,22.534,14049.61,758.4,0.0,16.0,1008.0
265.494,17.474,13918.22,1147.6,1045.0,0.0,991.0
177.32,13.288,14019.64,760.6,224.0,35.0,1005.0
174.336,5.912,14167.8,742.8,877.0,0.0,284.0
86.902,10.178,14348.4,375.2,193.0,36.0,0.0
39.256,3.088,14448.0,176.0,0.0,0.0,0.0
44.336,7.984,14566.12,198.0,0.0,22.0,0.0
41.84,5.96,14548.99,190.8,0.0,13.0,0.0
41.97,3.634,14646.02,189.6,0.0,0.0,0.0
45.708,10.442,14793.0,211.6,0.0,35.0,0.0
45.47,4.07,14713.85,208.4,0.0,0.0,0.0
92.956,7.314,14600.64,394.0,0.0,33.0,811.0
64.308,5.524,14604.06,282.0,0.0,2.0,0.0
187.024,3.15,14481.14,772.6,0.0,0.0,0.0
238.336,14.66,14365.86,993.8,0.0,34.0,635.0
195.296,6.082,14413.29,810.4,0.0,0.0,161.0
165.794,9.202,14331.94,693.0,0.0,34.0,0.0
191.71,2.974,14195.7,805.6,0.0,0.0,892.0
216.674,9.534,14295.64,906.8,0.0,10.0,1044.0
226.316,6.258,14199.05,952.6,0.0,24.0,1030.0
211.4,3.874,14298.51,882.8,0.0,0.0,1045.0
160.482,9.006,14461.6,663.6,0.0,34.0,159.0
157.796,5.5,14518.01,649.0,0.0,0.0,0.0
176.12,7.358,14358.85,732.0,0.0,24.0,0.0
148.954,5.214,14148.37,627.8,0.0,12.0,0.0
143.286,2.416,14081.71,605.6,0.0,0.0,0.0
147.336,6.586,14122.83,621.8,0.0,34.0,0.0
145.118,3.59,14146.7,613.6,0.0,0.0,0.0
149.756,6.552,14293.12,624.6,0.0,36.0,0.0
181.642,4.674,14337.11,756.8,0.0,0.0,530.0
162.07,3.528,14453.06,669.0,0.0,4.0,195.0
153.868,7.788,14482.54,636.0,0.0,31.0,0.0
151.754,3.914,14502.36,625.0,0.0,0.0,0.0
155.97,7.336,14590.85,638.4,0.0,36.0,0.0
149.43,5.186,14564.33,611.8,0.0,0.0,0.0
148.508,4.624,14579.71,604.8,0.0,19.0,0.0
148.29,6.694,14486.79,610.6,0.0,16.0,0.0
145.978,3.714,14464.23,600.6,0.0,0.0,0.0
147.43,7.31,14422.14,609.4,0.0,36.0,0.0
151.342,4.334,14441.02,624.6,0.0,0.0,87.0
193.086,5.948,14366.29,802.6,0.0,30.0,784.0
153.996,4.838,14274.88,644.0,0.0,5.0,0.0
154.114,4.108,14220.5,645.6,0.0,0.0,0.0
157.272,6.802,14302.9,656.4,0.0,34.0,0.0
84.404,11.002,14397.79,364.0,0.0,0.0,0.0
125.518,10.112,14378.21,523.8,0.0,35.0,962.0
82.496,5.9,14321.84,342.6,0.0,0.0,1048.0
90.886,6.152,14336.08,377.0,0.0,13.0,1049.0
93.558,7.16,14284.77,389.2,0.0,22.0,1042.0
79.35,4.106,14279.62,329.2,0.0,0.0,908.0
26.92,7.652,14232.42,114.4,0.0,35.0,0.0
25.474,5.234,14342.91,107.0,0.0,0.0,0.0
25.966,6.146,14341.23,108.2,0.0,26.0,0.0
27.274,7.484,14587.36,119.4,0.0,10.0,0.0
24.698,3.468,14583.43,105.8,0.0,0.0,0.0
28.968,10.49,14588.91,127.6,0.0,35.0,0.0
24.88,3.594,14632.65,105.8,0.0,0.0,0.0
28.638,9.894,14762.18,124.6,0.0,32.0,0.0
25.858,5.202,14712.8,109.8,0.0,3.0,0.0
77.294,3.974,14532.78,318.6,0.0,0.0,866.0
28.462,9.706,14623.59,123.6,0.0,34.0,0.0
24.708,3.422,14577.88,104.8,0.0,0.0,0.0
27.956,8.882,14372.44,120.8,0.0,33.0,0.0
24.652,4.024,14447.23,101.8,0.0,1.0,0.0
25.138,4.754,14305.91,104.8,0.0,0.0,0.0
27.226,8.264,14403.24,115.8,0.0,35.0,0.0
25.258,4.754,14566.47,105.6,0.0,0.0,0.0
28.192,9.468,14518.5,121.6,0.0,34.0,0.0
25.398,4.986,14624.35,107.6,0.0,0.0,0.0
48.54,6.434,14732.95,200.8,0.0,0.0,364.0
80.616,9.042,14598.89,332.2,0.0,38.0,887.0
116.938,9.216,14447.46,486.8,0.0,0.0,852.0
127.616,20.36,14239.43,549.0,0.0,34.0,712.0
93.018,3.738,14309.0,387.8,0.0,0.0,1046.0
124.528,16.752,14344.93,525.0,0.0,15.0,1050.0
139.594,16.744,14350.23,585.0,0.0,20.0,785.0
42.674,7.714,14439.75,181.6,0.0,0.0,0.0
30.84,6.582,14644.92,133.2,0.0,34.0,0.0
52.73,3.828,14707.88,215.6,0.0,0.0,0.0
84.144,4.254,14601.97,346.4,0.0,24.0,0.0
25.598,8.6,14720.26,111.8,0.0,10.0,0.0
17.874,7.432,14798.44,80.8,0.0,0.0,0.0
20.25,11.242,14808.11,96.2,0.0,35.0,0.0
17.444,6.438,14705.41,76.4,0.0,0.0,0.0
59.12,9.29,14696.86,248.0,0.0,28.0,653.0
18.344,7.28,14678.27,82.4,0.0,6.0,0.0
17.276,5.186,14506.47,77.2,0.0,0.0,0.0
20.598,10.952,14494.3,96.6,0.0,34.0,0.0
48.092,6.596,14421.0,213.0,0.0,0.0,0.0
47.306,11.954,14554.88,209.8,0.0,30.0,0.0
77.548,7.32,14560.39,318.2,0.0,4.0,939.0
83.518,7.074,14565.2,340.6,0.0,0.0,1082.0
86.236,11.242,14600.3,353.4,0.0,34.0,1088.0
37.934,8.27,14744.07,163.8,0.0,0.0,325.0
21.66,13.594,14750.02,106.0,0.0,35.0,0.0
17.824,7.344,14634.59,82.2,0.0,0.0,0.0
19.23,8.99,14467.83,87.6,0.0,0.0,0.0
19.562,9.76,14520.86,92.8,0.0,35.0,0.0
19.332,9.16,14484.61,88.4,0.0,0.0,0.0
50.362,9.304,14495.74,221.6,0.0,34.0,0.0
46.934,4.102,14523.95,196.8,0.0,0.0,0.0
96.56,3.428,14677.23,396.2,0.0,5.0,601.0
101.52,8.468,14632.95,422.8,8.0,346.0,77.0
220.2,5.008,14278.41,921.2,853.0,256.0,0.0
153.704,7.582,14403.18,638.0,190.0,36.0,0.0
143.174,5.652,14525.06,588.0,0.0,0.0,0.0
141.326,5.462,14426.34,583.0,0.0,14.0,0.0
141.874,6.942,14400.73,587.4,0.0,22.0,0.0
140.248,4.01,14411.26,579.2,0.0,0.0,0.0
142.26,7.872,14389.8,587.4,0.0,36.0,0.0
137.716,3.72,14281.35,574.2,0.0,0.0,0.0
170.758,5.85,14262.18,716.4,0.0,20.0,372.0
124.43,6.222,14310.22,523.0,0.0,16.0,1045.0
112.64,4.648,14437.83,468.4,0.0,0.0,1065.0
187.256,12.926,14397.86,790.2,0.0,1250.0,1058.0
187.248,16.82,14383.68,790.6,0.0,1542.0,1056.0
212.016,15.154,14364.84,892.4,0.0,2038.0,1053.0
81.362,7.652,14589.21,342.0,0.0,34.0,706.0
100.896,9.92,14534.87,420.4,0.0,462.0,826.0
211.796,16.28,14272.39,897.2,0.0,1341.0,1040.0
151.418,9.612,14290.05,634.0,0.0,60.0,1042.0
152.638,7.912,14213.81,641.6,0.0,28.0,1032.0
154.238,10.834,14219.71,651.8,0.0,17.0,601.0
62.376,8.856,14285.9,265.0,0.0,43.0,0.0
22.45,5.95,14336.11,98.2,0.0,10.0,0.0
24.282,10.074,14652.18,110.0,0.0,50.0,0.0
51.48,8.442,14618.72,216.4,0.0,10.0,6.0
148.732,9.558,14480.04,614.4,0.0,37.0,530.0
141.85,5.452,14468.13,583.8,0.0,0.0,0.0
144.684,7.214,14551.16,595.4,0.0,19.0,0.0
143.76,6.504,14548.64,591.4,0.0,19.0,0.0
144.108,5.682,14587.98,590.0,0.0,0.0,0.0
143.984,7.69,14508.52,592.8,0.0,36.0,0.0
142.096,5.342,14469.25,585.0,0.0,0.0,0.0
139.77,6.618,14307.96,582.6,0.0,37.0,0.0
139.56,5.642,14326.71,581.6,0.0,0.0,0.0
165.332,4.554,14253.95,692.6,0.0,17.0,455.0
